Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219
Random Forest,0.9649122807017544,1.0,0.9047619047619048,0.95
SVM,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629
